type,name,label,required,appearance,$given_name,relevant,choice_filter,constraint_message,constraint_message::English,constraint,calculation
integer,drc_a21,Clothes Price (after),TRUE,,,"selected(${A4},'yes')",,,,,
integer,drc_a22,Soap Price (before),TRUE,,,"selected(${A5},'yes')",,,,,
integer,drc_a23,Soap Price (after),TRUE,,,"selected(${A5},'yes')",,,,,
integer,drc_a24,Mattress Price (before),TRUE,,,"selected(${A6},'yes')",,,,,
integer,drc_a25,Mattress Price (after),TRUE,,,"selected(${A6},'yes')",,,,,
integer,drc_a26,Petrol Price (before),TRUE,,,"selected(${A7},'yes')",,,,,
integer,drc_a27,Petrol Price (after),TRUE,,,"selected(${A7},'yes')",,,,,
integer,drc_a28,Cooking Oil Price (before),TRUE,,,"selected(${A8},'yes')",,,,,
integer,drc_a29,Cooking Oil Price (after),TRUE,,,"selected(${A8},'yes')",,,,,
integer,drc_a30,Sugar Price (before),TRUE,,,"selected(${A9},'yes')",,,,,
integer,drc_a31,Sugar Price (after),TRUE,,,"selected(${A9},'yes')",,,,,
integer,drc_a32,Drinking Water Price (before),TRUE,,,"selected(${A10},'yes')",,,,,
integer,drc_a33,Drinking Water Price (after),TRUE,,,"selected(${A10},'yes')",,,,,
integer,drc_a34,Female Hygiene Items Price (before),TRUE,,,"selected(${A11},'yes')",,,,,
integer,drc_a35,Female Hygiene Items Price (after),TRUE,,,"selected(${A11},'yes')",,,,,
integer,drc_a36,Blanket Price (before),TRUE,,,"selected(${A12},'yes')",,,,,
integer,drc_a37,Blanket Price (after),TRUE,,,"selected(${A12},'yes')",,,,,
integer,drc_a38,Plastic Sheeting price (before),TRUE,,,"selected(${A13},'yes')",,,,,
integer,drc_a39,Plastic Sheeting Price (after),TRUE,,,"selected(${A13},'yes')",,,,,
end_group,drc_available,,,,,,,,,,
text,drc_purchased,List the three items purchased the most from the local market?,TRUE,,,,,,,,
text,drc_purchased1,,TRUE,,,,,,,,
text,drc_purchased2,,TRUE,,,,,,,,
select_multiple men_restrictions,drc_costumers1,Are there any restrictions for women to access the market/store? ,TRUE,,,,,,,,
select_multiple women_restrictions,drc_costumers2,Are there any restrictions for men to access the market/store? ,TRUE,,,,,,,,
select_one how_often,drc_costumers3,How often do women come to shop at your store?,TRUE,,,,,,,,
select_one cash_payment,drc_costumers4,How often do women come to shop at your store? ,TRUE,,,,,,,,
end_group,drc_market_information,,,,,,,,,,
text,drc_market_additional,Do you have any additional comment about the market?,TRUE,,,,,,,,
begin_group,fooddrc_iom,Food prices,TRUE,,,"${pass_DRC_IOM}=""DRC_IOMtest""",,,,,
select_one yes_no,drc_food_info,Are you collecting food information?,TRUE,,,,,,,,
text,drc_name_market,Name of the market ,,,,"selected(${foodcare_info},'yes')",,,,,
select_multiple cash,drc_cash_feasibility_foodcare,Which forms of payment does this vendor currently accept? (tick all that apply),TRUE,,,"selected(${foodcare_info},'yes')",,"Cannot select ""Do Not Know"" and additional options - Invalid Response",,"not(selected(.,'Do_not_know') and count-selected(.)>1)",
text,drc_other_cash_feasibility_foodcare,Please specify other:,TRUE,,,"selected(${cash_feasibility_foodcare},""Other"")",,,,,
begin_group,wheat,Wheat,,,,"selected(${food_info},'yes')",,,,,
select_one yes_no,drc_sell_wheat,2.1 Do the vendor KI currently sell Wheat in his shop?,TRUE,,,,,,,,
end_group,wheat,,,,,,,,,,
begin_group,wheat_price_information,Wheat price information,,,,"selected(${sell_wheat},'yes')",,,,,
select_one yes_no,drc_quantity_1kg_wheat,2.2 Are you collecting the price for 50 Kg? ,TRUE,,,,,,,,
integer,drc_quantity_other_wheat,"2.3 If no, what quantity is this product sold in ? (in Kg)",TRUE,,,"selected(${quantity_1kg_wheat},""no"")",,Value must be greater than 0,,.>0,
select_one type_source,drc_wheat_type,2.4 What is the origion of the flour,TRUE,,,,,,,,
integer,drc_price_wheat,2.5 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
select_one supplier_type_type,drc_supplier_type_type ,2.6 what is the type of the market,,,,,,,,,
integer,drc_restocking,"2.7 Last time you restocked this product, how many days did it take for you to receive the goods after placing an order with your supplier?  (in days)",,,,,,,,,
calculate,calc_price_wheat,,,,,,,,,,"round(if((selected(${quantity_1kg_wheat},'yes')), (${price_wheat} div 1), ${price_wheat}),0)"
calculate,calc_wheat,,,,,,,,,,"round(if((selected(${quantity_1kg_wheat},'no')), (${price_wheat} div ${quantity_other_wheat}), ${price_wheat}),0)"
note,price_wheat_normalised,The price of one kilogram of wheat is: ${calc_wheat} YER,,,,"selected(${quantity_1kg_wheat},""no"")",,,,,
note,price_wheat_display,The price of one kilogram of wheat is: ${calc_price_wheat} YER,,,,"selected(${quantity_1kg_wheat},""yes"")",,,,,
end_group,food_wheat_information,,,,,,,,,,
begin_group,rice,rice,,,,"selected(${food_info},'yes')",,,,,
select_one yes_no,drc_sell_rice,3.1 Do the vendor KI currently sell rice in his shop?,TRUE,,,,,,,,
end_group,rice,,,,,,,,,,
begin_group,rice_price_information,rice price information,,,,"selected(${sell_rice},'yes')",,,,,
select_one yes_no,drc_quantity_1kg_rice,3.2 Are you collecting the price for 1 Kg? ,TRUE,,,,,,,,
integer,drc_quantity_other_rice,"3.3 If no, what quantity is this product sold in ? (in Kg)",TRUE,,,"selected(${quantity_1kg_rice},""no"")",,Value must be greater than 0,,.>0,
select_one type_source,drc_rice_type,3.4 What is the origion of the flour,TRUE,,,,,,,,
integer,drc_price_rice,3.5 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
select_one supplier_type,drc_supplier_type ,3.6 what is the type of the market,,,,,,,,,
integer,drc_restocking,"3.7 Last time you restocked this product, how many days did it take for you to receive the goods after placing an order with your supplier?  (in days)",,,,,,,,,
calculate,calc_price_rice,,,,,,,,,,"round(if((selected(${quantity_1kg_rice},'yes')), (${price_rice} div 1), ${price_rice}),0)"
calculate,calc_rice,,,,,,,,,,"round(if((selected(${quantity_1kg_rice},'no')), (${price_rice} div ${quantity_other_rice}), ${price_rice}),0)"
note,price_rice_normalised,The price of one kilogram of rice is: ${calc_rice} YER,,,,"selected(${quantity_1kg_rice},""no"")",,,,,
note,price_rice_display,The price of one kilogram of rice is: ${calc_price_rice} YER,,,,"selected(${quantity_1kg_rice},""yes"")",,,,,
end_group,food_rice_information,,,,,,,,,,
begin_group,beans,beans,,,,"selected(${food_info},'yes')",,,,,
select_one yes_no,drc_sell_beans,6.1 Do the vendor KI currently sell beans in his shop?,TRUE,,,,,,,,
end_group,beans,,,,,,,,,,
begin_group,beans_price_information,beans price information,,,,"selected(${sell_beans},'yes')",,,,,
select_one yes_no,drc_quantity_15oz_beans,6.2 Are you collecting the price for 15 oz cans? ,TRUE,,,,,,,,
integer,drc_quantity_other_beans,"6.3 If no, what quantity is this product sold in ? (in oz can)",TRUE,,,"selected(${quantity_15oz_beans},""no"")",,Value must be greater than 0,,.>0,
select_one type_source,drc_beans_type,6.4 What is the origion of the beans,TRUE,,,,,,,,
integer,drc_price_beans,6.5 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
select_one supplier_type,drc_supplier_type ,6.6 what is the type of the market,,,,,,,,,
integer,drc_restocking,"6.7 Last time you restocked this product, how many days did it take for you to receive the goods after placing an order with your supplier?  (in days)",,,,,,,,,
calculate,calc_price_beans,,,,,,,,,,"round(if((selected(${quantity_15oz_beans},'yes')), (${price_beans} div 15), ${price_beans}),0)"
calculate,calc_beans,,,,,,,,,,"round(if((selected(${quantity_15oz_beans},'no')), (${price_beans} div ${quantity_other_beans}), ${price_beans}),0)"
note,price_beans_normalised,The price of one oz can of beans is: ${calc_beans} YER,,,,"selected(${quantity_15oz_beans},""no"")",,,,,
note,price_beans_display,The price of one oz can of beans is: ${calc_price_beans} YER,,,,"selected(${quantity_15oz_beans},""yes"")",,,,,
end_group,food_beans_information,,,,,,,,,,
begin_group,vegetable_oil,Vegetable_oil,,,,"selected(${food_info},'yes')",,,,,
select_one yes_no,drc_sell_vegetable_oil,5.1 Do the vendor KI currently sell vegetable_oil in his shop?,TRUE,,,,,,,,
end_group,vegetable_oil,,,,,,,,,,
begin_group,vegetable_oil_price_information,Vegetable oil price information,,,,"selected(${sell_vegetable_oil},'yes')",,,,,
select_one yes_no,drc_quantity_0.75liters_vegetable_oil,5.2 Are you collecting the price for 0.75 Liter? ,TRUE,,,,,,,,
integer,drc_quantity_other_vegetable_oil,"5.3 If no, what quantity is this product sold in ? (liters)",TRUE,,,"selected(${quantity_0.75liters_vegetable_oil},""no"")",,Value must be greater than 0,,.>0,
select_one type_source,drc_vegetable_oil_type,5.4 What is the origion of the vegetable oil,TRUE,,,,,,,,
integer,drc_price_vegetable_oil,5.5 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
select_one supplier_type,drc_supplier_type ,5.6 what is the type of the market,,,,,,,,,
integer,drc_restocking,"5.7 Last time you restocked this product, how many days did it take for you to receive the goods after placing an order with your supplier?  (in days)",,,,,,,,,
calculate,calc_price_vegetable_oil,,,,,,,,,,"round(if((selected(${quantity_0.75liters_vegetable_oil},'yes')), (${price_vegetable_oil} div 0.75), ${price_vegetable_oil}),0)"
calculate,calc_vegetable_oil,,,,,,,,,,"round(if((selected(${quantity_0.75liters_vegetable_oil},'no')), (${price_vegetable_oil} div ${quantity_other_vegetable_oil}), ${price_vegetable_oil}),0)"
note,price_vegetable_oil_normalised,The price of one liter of vegetable oil is: ${calc_vegetable_oil} YER,,,,"selected(${quantity_0.75liters_vegetable_oil},""no"")",,,,,
note,price_vegetable_oil_display,The price of one liter of vegetable oil is: ${calc_price_vegetable_oil} YER,,,,"selected(${quantity_0.75liters_vegetable_oil},""yes"")",,,,,
end_group,food_vegetable_oil_information,,,,,,,,,,
begin_group,suger,Suger,,,,"selected(${food_info},'yes')",,,,,
select_one yes_no,drc_sell_suger,6.1 Do the vendor KI currently sell suger in his shop?,TRUE,,,,,,,,
end_group,suger,,,,,,,,,,
begin_group,suger_price_information,suger price information,,,,"selected(${sell_suger},'yes')",,,,,
select_one yes_no,drc_quantity_1kg_suger,6.2 Are you collecting the price for 1 Kg? ,TRUE,,,,,,,,
integer,drc_quantity_other_suger,"6.3 If no, what quantity is this product sold in ? (in Kg)",TRUE,,,"selected(${quantity_1kg_suger},""no"")",,Value must be greater than 0,,.>0,
select_one type_source,drc_suger_type,6.4 What is the origion of the flour,TRUE,,,,,,,,
integer,drc_price_suger,6.5 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
select_one supplier_type,drc_supplier_type ,6.6 what is the type of the market,,,,,,,,,
integer,drc_restocking,"6.7 Last time you restocked this product, how many days did it take for you to receive the goods after placing an order with your supplier?  (in days)",,,,,,,,,
calculate,calc_price_suger,,,,,,,,,,"round(if((selected(${quantity_1kg_suger},'yes')), (${price_suger} div 1), ${price_suger}),0)"
calculate,calc_suger,,,,,,,,,,"round(if((selected(${quantity_1kg_suger},'no')), (${price_suger} div ${quantity_other_suger}), ${price_suger}),0)"
note,price_suger_normalised,The price of one kilogram of suger is: ${calc_suger} YER,,,,"selected(${quantity_1kg_suger},""no"")",,,,,
note,price_suger_display,The price of one kilogram of suger is: ${calc_price_suger} YER,,,,"selected(${quantity_1kg_suger},""yes"")",,,,,
end_group,food_suger_information,,,,,,,,,,
begin_group,salt,salt,,,,"selected(${food_info},'yes')",,,,,
select_one yes_no,drc_sell_salt,7.1 Do the vendor KI currently sell salt in his shop?,TRUE,,,,,,,,
end_group,salt,,,,,,,,,,
begin_group,salt_price_information,salt price information,,,,"selected(${sell_salt},'yes')",,,,,
select_one yes_no,drc_quantity_1kg_salt,7.2 Are you collecting the price for 1 Kg? ,TRUE,,,,,,,,
integer,drc_quantity_other_salt,"7.3 If no, what quantity is this product sold in ? (in Kg)",TRUE,,,"selected(${quantity_1kg_salt},""no"")",,Value must be greater than 0,,.>0,
select_one type_source,drc_salt_type,7.4 What is the origion of the flour,TRUE,,,,,,,,
integer,drc_price_salt,7.5 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
select_one supplier_type,drc_supplier_type ,7.6 what is the type of the market,,,,,,,,,
integer,drc_restocking,"7.7 Last time you restocked this product, how many days did it take for you to receive the goods after placing an order with your supplier?  (in days)",,,,,,,,,
calculate,calc_price_salt,,,,,,,,,,"round(if((selected(${quantity_1kg_salt},'yes')), (${price_salt} div 1), ${price_salt}),0)"
calculate,calc_salt,,,,,,,,,,"round(if((selected(${quantity_1kg_salt},'no')), (${price_salt} div ${quantity_other_salt}), ${price_salt}),0)"
note,price_salt_normalised,The price of one kilogram of salt is: ${calc_salt} YER,,,,"selected(${quantity_1kg_salt},""no"")",,,,,
note,price_salt_display,The price of one kilogram of salt is: ${calc_price_salt} YER,,,,"selected(${quantity_1kg_salt},""yes"")",,,,,
end_group,food_salt_information,,,,,,,,,,
begin_group,potato,potato,,,,"selected(${food_info},'yes')",,,,,
select_one yes_no,drc_sell_potato,8.1 Do the vendor KI currently sell potato in his shop?,TRUE,,,,,,,,
end_group,potato,,,,,,,,,,
begin_group,potato_price_information,potato price information,,,,"selected(${sell_potato},'yes')",,,,,
select_one yes_no,drc_quantity_1kg_potato,8.2 Are you collecting the price for 1 Kg? ,TRUE,,,,,,,,
integer,drc_quantity_other_potato,"8.3 If no, what quantity is this product sold in ? (in Kg)",TRUE,,,"selected(${quantity_1kg_potato},""no"")",,Value must be greater than 0,,.>0,
select_one type_source,drc_potato_type,8.4 What is the origion of the flour,TRUE,,,,,,,,
integer,drc_price_potato,8.5 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
select_one supplier_type,drc_supplier_type ,8.6 what is the type of the market,,,,,,,,,
integer,drc_restocking,"8.7 Last time you restocked this product, how many days did it take for you to receive the goods after placing an order with your supplier?  (in days)",,,,,,,,,
calculate,calc_price_potato,,,,,,,,,,"round(if((selected(${quantity_1kg_potato},'yes')), (${price_potato} div 1), ${price_potato}),0)"
calculate,calc_potato,,,,,,,,,,"round(if((selected(${quantity_1kg_potato},'no')), (${price_potato} div ${quantity_other_potato}), ${price_potato}),0)"
note,price_potato_normalised,The price of one kilogram of potato is: ${calc_potato} YER,,,,"selected(${quantity_1kg_potato},""no"")",,,,,
note,price_potato_display,The price of one kilogram of potato is: ${calc_price_potato} YER,,,,"selected(${quantity_1kg_potato},""yes"")",,,,,
end_group,food_potato_information,,,,,,,,,,
end_group,fooddrc_iom,,,,,,,,,,
begin_group,miscellaneous_items,Miscellaneous items,TRUE,,,"${pass_DRC_IOM}=""DRC_IOMtest""",,,,,
select_one yes_no,drc_miscellaneous_info,Are you collecting miscellaneous items information?,TRUE,,,,,,,,
select_multiple cash,drc_cash_feasibility_miscellaneous,Which forms of payment does this vendor currently accept? (tick all that apply),TRUE,,,"selected(${miscellaneous_info},'yes')",,"Cannot select ""Do Not Know"" and additional options - Invalid Response",,"not(selected(.,'Do_not_know') and count-selected(.)>1)",
text,drc_other_cash_feasibility_miscellaneous,Please specify other:,TRUE,,,"selected(${cash_feasibility_miscellaneous},""Other"")",,,,,
begin_group,communication,Communication,,,,"selected(${miscellaneous_info},'yes')",,,,,
select_one yes_no,drc_sell_communication,2.1 Do the vendor KI currently sell communication services in his shop?,,,,,,,,,
end_group,communication,,,,,,,,,,
begin_group,communication_information,Communication price information,,,,"selected(${sell_communication},'yes')",,,,,
select_one yes_no,drc_quantity_1gb_communication,2.2 Are you collecting the price for 1 gb? ,TRUE,,,,,,,,
integer,drc_quantity_other_communication,"2.3 If no, what quantity is this product sold in ? (in liters)",TRUE,,,"selected(${quantity_1gb_communication},""no"")",,Value must be greater than 0,,.>0,
integer,drc_price_communication,2.4 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
calculate,calc_price_communication,,,,,,,,,,"round(if((selected(${quantity_1gb_communication},'yes')), (${price_communication} div 1), ${price_communication}),0)"
calculate,calc_communication,,,,,,,,,,"round(if((selected(${quantity_1gb_communication},'no')), (${price_communication} div ${quantity_other_communication}), ${price_communication}),0)"
note,price_communication_normalised,The price of one gb of communication is: ${price_communication} YER,,,,"selected(${quantity_1gb_communication},""no"")",,,,,
note,price_communication_display,The price of one gb of communication is: ${price_communication} YER,,,,"selected(${quantity_1gb_communication},""yes"")",,,,,
end_group,communication_information,,,,,,,,,,
begin_group,unskilled,unskilled,,,,"selected(${miscellaneous_info},'yes')",,,,,
select_one yes_no,drc_sell_unskilled,3.1 Do the vendor KI currently sell unskilled services in his shop?,,,,,,,,,
end_group,unskilled,,,,,,,,,,
begin_group,unskilled_information,unskilled price information,,,,"selected(${sell_unskilled},'yes')",,,,,
select_one yes_no,drc_quantity_1day_wage,3.2 Are you collecting the wage for 1 day? ,TRUE,,,,,,,,
integer,drc_quantity_other_wage,"3.3 If no, what quantity is this product sold in ? (in liters)",TRUE,,,"selected(${quantity_1day_wage},""no"")",,Value must be greater than 0,,.>0,
integer,drc_price_wage,3.4 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
calculate,calc_price_wage,,,,,,,,,,"round(if((selected(${quantity_1day_wage},'yes')), (${price_wage} div 1), ${price_wage}),0)"
calculate,calc_wage,,,,,,,,,,"round(if((selected(${quantity_1day_wage},'no')), (${price_wage} div ${quantity_other_wage}), ${price_wage}),0)"
note,price_wage_normalised,The price of one day of wage is: ${price_wage} YER,,,,"selected(${quantity_1day_wage},""no"")",,,,,
note,price_wage_display,The price of one day of wage is: ${price_wage} YER,,,,"selected(${quantity_1day_wage},""yes"")",,,,,
end_group,unskilled_information,,,,,,,,,,
begin_group,cooking_cooking_gas,Cooking gas,,,,"selected(${miscellaneous_info},'yes')",,,,,
select_one yes_no,drc_sell_cooking_gas,6.1 Do the vendor KI currently sell cooking gas in his shop?,,,,,,,,,
end_group,cooking_cooking_gas,,,,,,,,,,
begin_group,gas_information,cooking gas price information,,,,"selected(${sell_cooking_gas},'yes')",,,,,
select_one yes_no,drc_quantity_1cylinder_cooking_gas,6.2 Are you collecting the price for 1 cylinder? ,TRUE,,,,,,,,
integer,drc_quantity_other_cooking_gas,"6.3 If no, what quantity is this product sold in ? (in cylinders)",TRUE,,,"selected(${quantity_1cylinder_cooking_gas},""no"")",,Value must be greater than 0,,.>0,
integer,drc_price_cooking_gas,6.4 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
calculate,calc_price_cooking_gas,,,,,,,,,,"round(if((selected(${quantity_1cylinder_cooking_gas},'yes')), (${price_cooking_gas} div 1), ${price_cooking_gas}),0)"
calculate,calc_cooking_gas,,,,,,,,,,"round(if((selected(${quantity_1cylinder_cooking_gas},'no')), (${price_cooking_gas} div ${quantity_other_cooking_gas}), ${price_cooking_gas}),0)"
note,price_cooking_gas_normalised,The price of one cylinder of gas is: ${price_cooking_gas} YER,,,,"selected(${quantity_1cylinder_cooking_gas},""no"")",,,,,
note,price_cooking_gas_display,The price of one cylinder of gas is: ${price_cooking_gas} YER,,,,"selected(${quantity_1cylinder_cooking_gas},""yes"")",,,,,
end_group,gas_information,,,,,,,,,,
begin_group,oral hygiene,Oral hygiene,,,,"selected(${miscellaneous_info},'yes')",,,,,
select_one yes_no,drc_sell_oral_hygiene,5.1 Do the vendor KI currently sell oral hygiene items in his shop?,,,,,,,,,
end_group,oral_hygiene,,,,,,,,,,
begin_group,toothbrush,toothbrush,,,,"selected(${sell_oral_hygiene},'yes')",,,,,
select_one yes_no,drc_sell_toothbrush,6.1 Do the vendor KI currently sell toothbrush in his shop?,,,,,,,,,
end_group,toothbrush,,,,,,,,,,
begin_group,toothbrush_price_information,toothbrush price information,,,,"selected(${sell_toothbrush},'yes')",,,,,
select_one yes_no,drc_quantity_1pcs_toothbrush,6.2 Are you collecting the price for 5 packs? ,TRUE,,,,,,,,
integer,drc_quantity_other_toothbrush,"6.3 If no, what quantity is this product sold in ? (in toothbrushes)",TRUE,,,"selected(${quantity_1pcs_toothbrush},""no"")",,Value must be greater than 0,,.>0,
integer,drc_price_toothbrush,6.4 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
calculate,calc_toothbrush,,,,,,,,,,"round(if((selected(${quantity_1pcs_toothbrush},'yes')), (${price_toothbrush} div 1), ${price_toothbrush}),0)"
calculate,calc_price_toothbrush,,,,,,,,,,"round(if((selected(${quantity_1pcs_toothbrush},'no')), (${price_toothbrush} div ${quantity_other_toothbrush}), ${price_toothbrush}),0)"
note,price_toothbrush_normalised,The price of one piece of toothbrush is: ${calc_price_toothbrush} YER,,,,"selected(${quantity_1pcs_toothbrush},""no"")",,,,,
note,price_toothbrush_display,The price of one piece of toothbrush is: ${calc_toothbrush} YER,,,,"selected(${quantity_1pcs_toothbrush},""yes"")",,,,,
end_group,foodcare_toothbrush_information,,,,,,,,,,
begin_group,toothpaste,toothpaste,,,,"selected(${sell_oral_hygiene},'yes')",,,,,
select_one yes_no,drc_sell_toothpaste,7.1 Do the vendor KI currently sell toothpaste in his shop?,,,,,,,,,
end_group,toothpaste,,,,,,,,,,
begin_group,toothpaste_price_information,toothpaste price information,,,,"selected(${sell_toothpaste},'yes')",,,,,
select_one yes_no,drc_quantity_2pcs_toothpaste,7.2 Are you collecting the price for 250ml tubes? ,TRUE,,,,,,,,
integer,drc_quantity_other_toothpaste,"7.3 If no, what quantity is this product sold in ? ",TRUE,,,"selected(${quantity_2pcs_toothpaste},""no"")",,Value must be greater than 0,,.>0,
integer,drc_price_toothpaste,7.4 Write the price for the quantity you entered (in YER).,TRUE,,,,,Value must be greater than 0,,.>0,
